ApplicationName,LoggerName,RequestedURL,Details
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/claims?ClaimStatus[0]=Ineligible&StartDate=9/7/2015&cacheBust=1474516813484,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/claims?ClaimStatus[0]=Ineligible&StartDate=9/7/2015&cacheBust=1474516813484"",""transactionId"":""03475e5d-8f1e-47aa-998b-51b94d5d52cf"",""httpVerb"":""GET"",""message"":""Request Finished in 311 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/claims/?ClaimStatus[0]=Paid&ClaimSources[0]=ONLINE&ClaimSources[1]=MAILFAXED&ClaimSources[2]=AUTOREIMBURSED&StartDate=5/18/2015&cacheBust=1474516813534,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/claims/?ClaimStatus[0]=Paid&ClaimSources[0]=ONLINE&ClaimSources[1]=MAILFAXED&ClaimSources[2]=AUTOREIMBURSED&StartDate=5/18/2015&cacheBust=1474516813534"",""transactionId"":""9ca9daf6-b7d1-428d-ac89-0c0e4e59f0ed"",""httpVerb"":""GET"",""message"":""Request Finished in 1079 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/alerts/?alertKey=0000139820008,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/alerts/?alertKey=0000139820008"",""transactionId"":""75a0dd35-cd3f-4753-b96c-fb09f04d3e71"",""httpVerb"":""DELETE"",""message"":""Request Finished in 34 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/claims/,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/claims/"",""transactionId"":""0dee2c20-4c59-44ea-a7fd-b2740b55ece2"",""httpVerb"":""POST"",""message"":""Request Finished in 3503 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/alerts/?alertKey=0000139841008,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/alerts/?alertKey=0000139841008"",""transactionId"":""4c7608af-5690-4942-9690-6253d131c47c"",""httpVerb"":""DELETE"",""message"":""Request Finished in 20 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/claims?claimStatus[0]=Pending&top=-1&cacheBust=1474516818221,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/claims?claimStatus[0]=Pending&top=-1&cacheBust=1474516818221"",""transactionId"":""dd95364e-0686-4eb4-8dee-86d5c203ee6d"",""httpVerb"":""GET"",""message"":""Request Finished in 13 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/SAMs/Login/LogonPage.aspx,"{""httpResponseStatusCode"":302,""requestedUrl"":""http://www.ABC.com/SAMs/Login/LogonPage.aspx"",""transactionId"":""b2e127f8-eff2-4f8c-8071-45eb9d2d8365"",""httpVerb"":""POST"",""message"":""Request Finished in 86 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/"",""transactionId"":""f880778a-93c3-416c-a597-263d63aa3e05"",""httpVerb"":""GET"",""message"":""Request Finished in 1 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/vendor,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/vendor"",""transactionId"":""7c361894-b767-4f6f-96fd-d2f803700a1a"",""httpVerb"":""GET"",""message"":""Request Finished in 16 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/brandable,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/brandable"",""transactionId"":""f774770f-ab11-44d5-b58a-44beedb16dc7"",""httpVerb"":""GET"",""message"":""Request Finished in 5 milliseconds""}"
